dates,stationid,sumax,sumay,sumaz,countwx,countwy,countwz,accx,accy,accz,velx,vely,velz,dispx,dispy,dispz,temperature,humidity,pressure,rain,lightavg,lightavgw/o0,lightmax,forces,moisture
,,,,,,,,0,0,0,,,,,,,,,,,,,,,
,,,,,,,,0.06,0.1175,0.84,0,0,0,0,0,0,,,,,,,,,
07/08/2018,t10,0.24,0.47,3.36,4,4,4,0.06,0.1175,0.84,0,0,0,0,0,0,25.46875,82.1875,1036.346875,6.75,0.3438,5.5,4000,0.045625,0
07/09/2018,t10,0,0,0,0,0,0,0.06,0.1175,0.84,0,0,0,0,0,0,26.19298,83.14912,1037.60438596491,1761.75,6.0263,11.8448,4000,0.616053,5.693
07/10/2018,t10,0,0,0,0,0,0,0.06,0.1175,0.84,0,0,0,0,0,0,25.17021,85.34043,1037.88936170212,652.5,3.6383,8.7692,4000,0.499894,6.8511
07/11/2018,t10,0.02,0.17,0.91,1,1,1,0.02,0.17,0.91,-0.033354,0.043777125,0.0583695000000001,-0.00283509,0.003721055625,0.00496140750000001,24.29851,87.68657,1036.85746268656,963,4.4179,8.8358,4000,0.475597,6.0373
07/12/2018,t10,0,0,0,0,0,0,0.02,0.17,0.91,0,0,0,-0.00283509,0.003721055625,0.00496140750000001,24.06923,87.64615,1027.83076923076,254.25,145.7615,274.6232,4333,0.377846,31.2385
07/13/2018,t10,0,0,0,0,0,0,0.02,0.17,0.91,0,0,0,-0.00283509,0.003721055625,0.00496140750000001,21.20779,95.94805,1006.92467532467,339.75,8636.3896,14148.9787,54612,0.362078,100
07/15/2018,t10,0.04,0.17,0.92,2,2,2,0.02,0.085,0.46,0,-0.1417545,-0.750465,-0.00283509,-0.020377209375,-0.1226176425,23.48571,96.17143,1006.56857142857,38.25,38.5429,134.9,4000,0.186,93.2
07/18/2018,t10,0,0,0,0,0,0,0.02,0.085,0.46,0,0,0,-0.00283509,-0.020377209375,-0.1226176425,21.79487,98.58974,1009.41538461538,29.25,304.5641,659.8889,4000,0.248205,5.7692
07/19/2018,t10,0.17,0.54,0.62,1,1,1,0.17,0.54,0.62,0.1250775,0.37940175,0.133416,0.0077964975,0.011871939375,-0.1112772825,25.09346,88.3271,991.654112149532,4.5,1398.271,2168.3333,6295,0.147103,4.2897
07/20/2018,t10,0.19,0.53,0.76,1,1,1,0.19,0.53,0.76,0.016677,-0.00833850000000001,0.116739,0.0092140425,0.011163166875,-0.1013544675,25.39423,90.43269,1009.65769230769,112.5,1241.4135,2082.371,5489,0.110577,3.6154
07/21/2018,t10,0,0,0,0,0,0,0.19,0.53,0.76,0,0,0,0.0092140425,0.011163166875,-0.1013544675,23.89076,94.53782,1009.26806722689,735.75,4114.6975,6359.0779,54612,0.159244,3.7647
07/22/2018,t10,0,0,0,0,0,0,0.19,0.53,0.76,0,0,0,0.0092140425,0.011163166875,-0.1013544675,22.5098,99,1009.79607843137,607.5,5548.3529,7163.6962,54612,0.193137,4.0294
07/23/2018,t10,0,0,0,0,0,0,0.19,0.53,0.76,0,0,0,0.0092140425,0.011163166875,-0.1013544675,22.904,98,1009.8952,717.75,803.192,1356.7432,6495,0.2124,3.832
07/24/2018,t10,0,0,0,0,0,0,0.19,0.53,0.76,0,0,0,0.0092140425,0.011163166875,-0.1013544675,21.72464,99,996.289130434782,513,650.6522,831.3889,4000,0.2,3.0435
07/25/2018,t10,0,0,0,0,0,0,0.19,0.53,0.76,0,0,0,0.0092140425,0.011163166875,-0.1013544675,23.18182,98.9697,800,195.75,7415.6768,12035.2787,54612,0.191111,3
07/26/2018,t10,0,0,0,0,0,0,0.19,0.53,0.76,0,0,0,0.0092140425,0.011163166875,-0.1013544675,21.24272,99,1009.20582524271,474.75,337.9029,589.8983,4000,0.196311,3.0485
07/27/2018,t10,0,0,0,0,0,0,0.19,0.53,0.76,0,0,0,0.0092140425,0.011163166875,-0.1013544675,21.62791,99,1008.89457364341,409.5,526.4031,859.5696,4000,0.18155,3
07/28/2018,t10,0.86,0.32,0.66,1,1,1,0.86,0.32,0.66,0.5586795,-0.1751085,-0.083385,0.0567018,-0.00372105562500001,-0.1084421925,20.90511,99,1008.88978102189,1161,558.4526,944.5432,4000,0.147007,3.1971
07/29/2018,t10,0,0,0,0,0,0,0.86,0.32,0.66,0,0,0,0.0567018,-0.00372105562500001,-0.1084421925,23.66667,97.80142,1009.37872340425,0,1082.8227,1817.5952,5536,0.019007,2.0355
07/30/2018,t10,0,0,0,0,0,0,0.86,0.32,0.66,0,0,0,0.0567018,-0.00372105562500001,-0.1084421925,24.53077,92.9,1008.65846153846,0,1164.6462,1846.3902,4106,0.005154,1.8
07/31/2018,t10,0,0,0,0,0,0,0.86,0.32,0.66,0,0,0,0.0567018,-0.00372105562500001,-0.1084421925,23.40714,98.97857,1007.94571428571,240.75,865.2643,1477.2805,5002,0.033571,1.7143
08/01/2018,t10,0,0,0,0,0,0,0.86,0.32,0.66,0,0,0,0.0567018,-0.00372105562500001,-0.1084421925,22.88652,98.68794,1008.97730496453,398.25,900.0993,1529.0843,5347,0.107943,1.1915
08/02/2018,t10,0,0,0,0,0,0,0.86,0.32,0.66,0,0,0,0.0567018,-0.00372105562500001,-0.1084421925,20,99,1009.39444444444,2.25,0,0,4000,0.172778,1
08/05/2018,t10,0.89,0.35,0.53,1,1,1,0.89,0.35,0.53,0.0250155,0.0250155,-0.1084005,0.0588281175,-0.00159473812500001,-0.117656235,20.32203,99,1009.66440677966,816.75,90.8644,172.9355,4000,0.159831,1.0508
08/06/2018,t10,0,0,0,0,0,0,0.89,0.35,0.53,0,0,0,0.0588281175,-0.00159473812500001,-0.117656235,20.0493,99,1009.03732394366,776.25,197.7958,351.0875,4000,0.09662,1
08/07/2018,t10,0,0,0,0,0,0,0.89,0.35,0.53,0,0,0,0.0588281175,-0.00159473812500001,-0.117656235,19.7234,99,1010.74680851063,681.75,314.5674,547.5802,4000,0.092695,1
08/08/2018,t10,0.77,0.38,0.49,1,1,1,0.77,0.38,0.49,-0.100062,0.0250155,-0.033354,0.0503228475,0.000531579374999993,-0.120491325,22.33094,99,1012.12589928057,441,455.4676,2752.6087,54612,0.094676,1
08/09/2018,t10,0,0,0,0,0,0,0.77,0.38,0.49,0,0,0,0.0503228475,0.000531579374999993,-0.120491325,23.47482,98.97122,1014.83237410071,423,39814.5971,48975.4779,54612,0.141655,1.1655
08/10/2018,t10,0,0,0,0,0,0,0.77,0.38,0.49,0,0,0,0.0503228475,0.000531579374999993,-0.120491325,22.88489,99,1012.83597122302,108,2264.1942,3885.4691,10057,0.087554,2
08/11/2018,t10,0,0,0,0,0,0,0.77,0.38,0.49,0,0,0,0.0503228475,0.000531579374999993,-0.120491325,22.31915,99,1008.61205673758,76.5,2483.6241,4270.622,54612,0.077092,2
08/12/2018,t10,0.77,0.38,0.49,1,1,1,0.77,0.38,0.49,0,0,0,0.0503228475,0.000531579374999993,-0.120491325,22.09774,99,1005.80676691729,1341,1571.2556,2713.987,11745,0.07812,1.7669
08/13/2018,t10,0,0,0,0,0,0,0.77,0.38,0.49,0,0,0,0.0503228475,0.000531579374999993,-0.120491325,21.03053,99,1007.67557251908,1804.5,2507.5573,4562.3611,54612,0.075115,1.0076
08/14/2018,t10,0,0,0,0,0,0,0.77,0.38,0.49,0,0,0,0.0503228475,0.000531579374999993,-0.120491325,22.97842,99,1009.50503597122,0,2674.8417,4647.5375,13465,0.037842,1.3741
08/15/2018,t10,0,0,0,0,0,0,0.77,0.38,0.49,0,0,0,0.0503228475,0.000531579374999993,-0.120491325,24.23022,98.99281,1011.41582733812,0,3288.0216,5712.9375,14348,0.081511,9.9928
08/16/2018,t10,0,0,0,0,0,0,0.77,0.38,0.49,0,0,0,0.0503228475,0.000531579374999993,-0.120491325,23.65942,99,1014.02971014492,135,2425.913,4237.6709,14418,0.109855,20.1014
08/17/2018,t10,0,0,0,0,0,0,0.77,0.38,0.49,0,0,0,0.0503228475,0.000531579374999993,-0.120491325,22.44203,99,1011.51086956521,38.25,1331.5,2325.9114,7373,0.152899,22.2754
08/18/2018,t10,0,0,0,0,0,0,0.77,0.38,0.49,0,0,0,0.0503228475,0.000531579374999993,-0.120491325,22.00752,99,1010.52481203007,2171.25,6099.3308,10962.3108,54612,0.121805,22.5564
08/19/2018,t10,0,0,0,0,0,0,0.77,0.38,0.49,0,0,0,0.0503228475,0.000531579374999993,-0.120491325,23.34058,99,1009.85652173913,58.5,2248.5145,3927.7848,12786,0.133261,23.2174
08/20/2018,t10,0,0,0,0,0,0,0.77,0.38,0.49,0,0,0,0.0503228475,0.000531579374999993,-0.120491325,23.70423,99,1011.63943661971,742.5,4089.507,7169.2593,54612,0.091056,22.3732
08/21/2018,t10,0,0,0,0,0,0,0.77,0.38,0.49,0,0,0,0.0503228475,0.000531579374999993,-0.120491325,21.26761,99,1012.20492957746,443.25,4604.9859,8072.9383,54612,0.146338,23.4155
08/22/2018,t10,0,0,0,0,0,0,0.77,0.38,0.49,0,0,0,0.0503228475,0.000531579374999993,-0.120491325,22.97826,99,1010.93478260869,774,2108.087,3729.6923,11649,0.117174,24.2754
08/23/2018,t10,0,0,0,0,0,0,0.77,0.38,0.49,0,0,0,0.0503228475,0.000531579374999993,-0.120491325,21.94074,99,1010.34074074074,1167.75,1090.1111,1911.2338,7800,0.163704,24.4
08/24/2018,t10,0,0,0,0,0,0,0.77,0.38,0.49,0,0,0,0.0503228475,0.000531579374999993,-0.120491325,21.92199,99,1010.05531914893,1453.5,0,0,4000,0.176383,22.3688
08/25/2018,t10,0,0,0,0,0,0,0.77,0.38,0.49,0,0,0,0.0503228475,0.000531579374999993,-0.120491325,22.08759,99,1009.14452554744,630,550.2555,979.026,3564,0.185693,23.4526
08/26/2018,t10,0,0,0,0,0,0,0.77,0.38,0.49,0,0,0,0.0503228475,0.000531579374999993,-0.120491325,22.76812,99,1009.53623188405,594,9992.5072,15494,15494,0.146087,23.8478
08/27/2018,t10,0,0,0,0,0,0,0.77,0.38,0.49,0,0,0,0.0503228475,0.000531579374999993,-0.120491325,24.48227,98.75887,1011.67021276595,0,4286.7518,7555.4,54612,0.155177,23.1631
08/28/2018,t10,0,0,0,0,0,0,0.77,0.38,0.49,0,0,0,0.0503228475,0.000531579374999993,-0.120491325,24.6338,98.93662,1012.8690140845,38.25,3088.6338,5482.325,14212,0.136056,22.2465
08/29/2018,t10,0,0,0,0,0,0,0.77,0.38,0.49,0,0,0,0.0503228475,0.000531579374999993,-0.120491325,23.25532,99,1013.6829787234,65.25,2242.6383,4054,15848,0.138723,21.5319
08/30/2018,t10,0,0,0,0,0,0,0.77,0.38,0.49,0,0,0,0.0503228475,0.000531579374999993,-0.120491325,22.85315,99,1011.04405594405,546.75,2216.5524,3913.1728,11093,0.077622,21.7483
08/31/2018,t10,0.77,0.39,0.48,1,1,1,0.77,0.39,0.48,0,0.00833850000000001,-0.00833850000000001,0.0503228475,0.00124035187499999,-0.1212000975,22.52143,99,1011.60714285714,92.25,1605.0929,2844.4684,12538,0.134857,23.4929
09/01/2018,t10,0,0,0,0,0,0,0.77,0.39,0.48,0,0,0,0.0503228475,0.00124035187499999,-0.1212000975,23.06015,99,1013.35263157894,900,1689.5714,2844.4684,12538,0.132256,24.1053
